step,sat0_reward,sat1_reward,sat2_reward,sat3_reward,sat4_reward,sat5_reward,sat6_reward,sat7_reward,sat8_reward,sat9_reward
210,-0.1000,0.4968,-0.1000,-0.0166,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000
211,-0.1000,0.4209,-0.1000,-0.0374,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000
212,-0.1000,0.3437,-0.1000,-0.0579,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000
213,-0.1000,0.2861,-0.1000,-0.0781,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000
214,-0.1000,0.2541,-0.1000,-0.0979,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000
215,-0.1000,0.2217,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000
216,-0.1000,0.1887,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000
217,-0.1000,0.1551,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000
218,-0.1000,0.1209,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000
219,-0.1000,0.0862,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000
220,-0.1000,0.0509,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000
221,-0.1000,0.0150,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000
222,-0.1000,-0.0215,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000
223,-0.1000,-0.0587,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000
224,-0.1000,-0.0964,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000
225,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000
