step,sat0_reward,sat1_reward,sat2_reward,sat3_reward,sat4_reward,sat5_reward,sat6_reward,sat7_reward,sat8_reward,sat9_reward
160,-0.1000,-0.1000,-0.0306,0.4709,-0.1000,-0.1000,0.1131,-0.1000,0.2005,0.0500
161,-0.1000,-0.1000,-0.0260,0.4568,-0.1000,-0.1000,0.1293,-0.1000,0.1958,0.0500
162,-0.1000,-0.1000,-0.0217,0.4408,-0.1000,-0.1000,0.1454,-0.1000,0.1887,0.0500
163,-0.1000,-0.1000,-0.0177,0.4231,-0.1000,-0.1000,0.1613,-0.1000,0.1811,0.0500
164,-0.1000,-0.1000,-0.0139,0.4035,-0.1000,-0.1000,0.1771,-0.1000,0.1729,0.0500
165,-0.1000,-0.1000,-0.0104,0.2929,-0.1000,-0.1000,0.1926,-0.1000,0.1640,0.0500
166,-0.1000,-0.1000,-0.0072,0.2836,-0.1000,-0.1000,0.2079,-0.1000,0.1545,0.0500
167,-0.1000,-0.1000,-0.0043,0.2736,-0.1000,-0.1000,0.2231,-0.1000,0.1445,0.0500
168,-0.1000,-0.1000,-0.0017,0.2630,-0.1000,-0.1000,0.2380,-0.1000,0.1339,0.0500
169,-0.1000,-0.1000,0.0006,0.2516,-0.1000,-0.1000,0.2527,-0.1000,0.1227,0.0500
170,-0.1000,-0.1000,0.0026,0.2395,-0.1000,-0.1000,0.2671,-0.1000,0.1109,0.0500
171,-0.1000,-0.1000,0.0043,0.2268,-0.1000,-0.1000,0.2813,-0.1000,0.0986,0.0500
172,-0.1000,-0.1000,0.0057,0.2133,-0.1000,-0.1000,-0.1000,-0.1000,0.0857,0.3998
173,-0.1000,-0.1000,0.0067,0.1992,-0.1000,-0.1000,-0.1000,-0.1000,0.0723,0.3499
174,-0.1000,-0.1000,0.0073,0.1845,-0.1000,-0.1000,-0.1000,-0.1000,0.0584,0.3001
175,-0.1000,-0.1000,0.0076,0.1690,-0.1000,-0.1000,-0.1000,-0.1000,0.0439,0.2504
176,-0.1000,-0.1000,0.0076,0.1529,-0.1000,-0.1000,-0.1000,-0.1000,0.0290,0.2008
177,-0.1000,-0.1000,0.0072,0.1362,-0.1000,-0.1000,-0.1000,-0.1000,0.0135,0.1514
178,-0.1000,-0.1000,0.0064,0.1188,-0.1000,-0.1000,-0.1000,-0.1000,-0.0024,0.1022
179,-0.1000,-0.1000,0.0053,0.1008,-0.1000,-0.1000,-0.1000,-0.1000,-0.0189,0.0531
180,-0.1000,-0.1000,0.0037,0.0822,-0.1000,-0.1000,-0.1000,-0.1000,-0.0358,0.0500
181,-0.1000,-0.1000,0.0018,0.0630,-0.1000,-0.1000,-0.1000,-0.1000,-0.0531,0.0500
